acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
211,-301,4883,229,600,53
150,-189,4839,254,635,70
72,-87,4709,267,663,71
23,-95,4587,267,673,66
16,-210,4531,249,662,77
-20,-258,4537,206,650,126
-56,-117,4530,193,649,179
-87,-43,4487,207,657,193
-164,-223,4364,195,673,186
-262,-442,4148,159,689,216
-341,-561,3956,146,673,277
-343,-627,3849,182,628,331
-318,-561,3845,219,584,384
-265,-429,3889,253,562,417
-234,-413,3853,262,562,437
-267,-494,3795,243,563,467
-335,-516,3667,260,559,509
-394,-520,3534,261,546,551
-465,-445,3418,229,519,598
-447,-199,3464,235,484,627
-472,100,3356,365,436,588
-445,-69,3260,345,396,541
-318,-201,3283,281,347,565
-252,-94,3336,258,296,624
-293,35,3250,239,271,668
-293,35,3250,239,271,668
-338,16,3110,200,236,697
-329,-156,3047,171,186,729
-342,-259,2978,190,136,774
-358,-159,2893,236,86,827
-312,36,2816,271,33,865
-308,72,2700,279,-20,883
-326,-69,2608,235,-86,922
-290,-85,2572,227,-164,994
-302,81,2514,303,-249,1044
-343,283,2632,400,-322,1066
-388,644,2651,508,-377,1074
-407,976,2646,600,-435,1037
-428,1095,2567,599,-492,985
-420,1165,2485,532,-568,968
-301,1368,2536,489,-679,960
-91,1583,2882,466,-797,940
4,1684,3268,413,-854,917
-24,1661,3379,322,-849,914
-85,1510,3126,231,-830,921
-215,1215,2871,135,-865,932
-255,1141,2903,97,-935,955
-289,1382,2877,153,-1003,947
-269,1904,2968,230,-1096,903
-123,2263,3196,270,-1184,806
12,2105,3293,230,-1241,691
113,1854,3343,128,-1292,647
203,1792,3511,54,-1350,649
315,1882,3708,23,-1393,642
442,2051,3870,5,-1411,611
534,2202,4157,38,-1403,533
602,2292,4191,89,-1350,427
686,2219,4063,130,-1317,324
824,2291,4109,121,-1323,267
984,2546,4339,66,-1338,223
1079,2729,4566,-18,-1334,155
1054,2447,4576,-149,-1303,75
974,1902,4407,-299,-1277,34
955,1627,4320,-347,-1291,42
1090,1782,4390,-291,-1315,37
1235,2062,4658,-209,-1311,-12
1340,2193,4647,-204,-1257,-80
