acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
158,649,5200,-210,618,262
58,730,5048,-274,684,286
-9,816,4906,-273,713,283
-73,883,4907,-285,719,262
-87,849,4944,-321,742,228
-149,644,4800,-375,778,203
-204,521,4775,-414,787,213
-223,463,4740,-465,801,242
-196,340,4763,-569,832,287
-235,371,4849,-596,860,337
-303,732,5064,-553,902,375
-350,1081,5254,-437,981,336
-426,1236,5119,-282,1080,246
-535,1190,4842,-242,1161,160
-535,1190,4842,-242,1161,160
-636,1113,4594,-257,1195,113
-688,1082,4393,-258,1182,77
-742,1091,4218,-272,1132,54
-708,1250,4192,-296,1067,38
-610,1413,4380,-255,1007,-27
-476,1525,4534,-206,982,-121
-395,1508,4491,-240,987,-208
-430,1458,4454,-329,994,-262
-463,1469,4502,-363,997,-306
-491,1433,4461,-315,996,-349
-532,1490,4483,-241,999,-381
-647,1630,4250,-193,1021,-420
-810,1752,3874,-210,1021,-475
-953,1636,3533,-256,967,-561
-1020,1353,3505,-239,872,-645
-1010,1208,3540,-214,806,-681
-968,1329,3381,-335,781,-697
-977,1223,3263,-438,730,-753
-968,989,3260,-548,678,-784
-1027,840,3213,-629,644,-792
-1118,978,3136,-664,622,-796
-1164,1118,2955,-695,601,-845
-1192,906,2819,-737,564,-942
-1249,520,2784,-769,506,-1009
-1315,328,2778,-797,452,-1019
-1379,356,2704,-816,414,-1017
-1393,374,2531,-844,371,-1043
-1355,171,2349,-887,299,-1100
-1335,-226,2279,-965,198,-1138
-1338,-437,2535,-1031,113,-1125
-1348,-361,2585,-1016,75,-1107
-1281,-220,2414,-1009,37,-1128
-1225,-431,2283,-1065,-30,-1196
-1291,-878,2216,-1110,-122,-1243
-1318,-1091,2144,-1119,-218,-1225
-1245,-1171,2169,-1101,-308,-1213
-1200,-1443,2085,-1031,-393,-1233
-1132,-1666,2048,-923,-483,-1243
-1061,-1862,2060,-832,-557,-1232
-952,-2065,1997,-760,-626,-1211
-892,-2298,1985,-749,-712,-1168
-806,-2294,2267,-738,-816,-1090
-729,-2262,2619,-671,-879,-1044
-776,-2266,2864,-591,-888,-1007
-766,-2127,2918,-533,-870,-953
-682,-2246,3043,-482,-881,-934
-751,-2483,3339,-407,-908,-885
-821,-2328,3413,-288,-898,-771
-752,-1978,3195,-199,-882,-694
-676,-1969,2996,-193,-915,-699
-573,-2283,2983,-249,-998,-711
-465,-2689,3175,-294,-1098,-674
-308,-2871,3548,-268,-1189,-575
-139,-2906,3798,-181,-1222,-473
-45,-3053,3907,-117,-1196,-384
-16,-3261,3726,-56,-1145,-273
-22,-3398,3632,-10,-1120,-151
-56,-3446,3850,69,-1110,-31
-170,-3316,4098,214,-1071,90
-68,-2526,4240,276,-998,183
-75,-2811,4109,406,-920,120
-32,-3444,3738,567,-931,147
61,-3390,4035,621,-998,306
112,-2899,4364,672,-1006,462
186,-2491,4311,709,-964,535
197,-2365,4232,707,-952,546
293,-2333,4543,709,-976,557
459,-2463,5094,753,-933,589
459,-2463,5094,753,-933,589
547,-2719,4961,852,-811,664
531,-2622,4795,955,-723,797
453,-2166,4645,1052,-668,913
388,-1633,4460,1084,-643,961
335,-1334,4410,1031,-653,955
321,-1344,4538,977,-677,922
329,-1418,4560,983,-675,905
333,-1281,4411,948,-659,925
371,-1136,4498,940,-666,922
448,-1147,4752,998,-659,912
566,-953,4921,1072,-617,945
648,-631,5001,1073,-543,983
584,-249,4978,1047,-475,994
510,51,4756,1005,-425,957
404,-33,4491,931,-416,895
362,-95,4329,807,-448,878
356,-116,4289,717,-500,869
384,-75,4276,673,-545,857
449,0,4427,682,-578,828
477,188,4666,710,-576,793
504,368,4703,732,-532,751
449,362,4576,684,-489,722
435,490,4563,604,-486,721
453,465,4640,573,-486,684
429,504,4606,533,-470,669
401,596,4427,487,-465,659
372,630,4190,430,-491,628
423,468,4117,385,-551,581
473,209,4204,394,-601,536
554,182,4293,447,-608,511
652,287,4248,495,-588,478
