acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-353,-1961,2266,-128,-674,479
-284,-2040,2190,-60,-780,587
-188,-1770,2331,153,-856,594
-44,-1405,2657,439,-877,489
41,-1005,2919,722,-850,342
177,-747,3072,867,-819,239
177,-747,3072,867,-819,239
268,-987,3108,894,-819,227
310,-1128,2982,813,-857,384
398,-866,3118,709,-956,608
494,-523,3434,690,-1047,756
494,-214,3675,747,-1071,797
561,164,3791,860,-1062,757
697,205,3872,923,-1052,680
792,192,4034,924,-1053,660
874,359,4226,885,-1060,700
944,506,4397,826,-1058,750
981,921,4680,780,-1039,775
1000,1478,4939,783,-996,719
1024,1596,5063,770,-931,598
1081,1630,5235,752,-872,506
1103,1695,5345,716,-812,471
1067,1672,5340,649,-756,477
1030,1724,5256,551,-721,521
1039,1945,5196,425,-712,570
1095,2269,5321,320,-722,559
1168,2377,5565,254,-713,471
1218,2094,5675,199,-659,372
1189,1824,5621,129,-584,348
1184,1883,5514,68,-514,366
1177,2018,5489,18,-461,346
1173,2335,5592,-6,-402,282
1220,2452,5531,-22,-323,150
1270,2244,5500,-36,-254,16
1270,2221,5522,-59,-183,-47
1220,2354,5361,-92,-105,-91
1129,2419,5013,-136,-50,-156
1060,2298,4690,-185,-47,-230
1041,2117,4567,-247,-81,-275
1017,1995,4552,-289,-116,-296
1003,1980,4488,-306,-119,-312
1014,2086,4408,-305,-115,-341
1037,2240,4326,-287,-108,-400
1072,2306,4322,-277,-94,-485
1072,2253,4350,-294,-48,-589
981,2187,4120,-303,18,-687
912,2141,3686,-372,56,-765
790,1948,3390,-495,12,-826
691,1713,3367,-580,-80,-863
723,1514,3348,-634,-165,-886
846,1266,3310,-669,-237,-910
978,1083,3376,-687,-299,-914
1067,1078,3503,-687,-338,-906
1129,1088,3615,-680,-350,-919
1169,914,3605,-693,-345,-951
1280,576,3626,-750,-349,-972
1373,163,3725,-820,-362,-957
1397,-204,3773,-881,-368,-902
1341,-427,3866,-908,-369,-844
1312,-583,3943,-883,-360,-813
1288,-736,4119,-802,-350,-817
1304,-882,4171,-706,-304,-842
1391,-1162,3805,-621,-305,-862
1556,-1551,4159,-619,-389,-835
1673,-1942,4729,-627,-405,-728
1827,-2068,4966,-552,-340,-573
1966,-2094,5011,-499,-251,-424
2032,-2054,5084,-429,-185,-313
2152,-2017,5303,-349,-143,-222
2257,-2156,5602,-307,-79,-136
2204,-2393,5725,-289,20,-25
2072,-2321,5746,-239,132,117
1940,-1950,5780,-101,244,207
1828,-1460,5861,85,367,198
1738,-999,5940,267,509,112
1595,-721,5873,386,667,10
1595,-721,5873,386,667,10
1403,-594,5741,447,791,-56
1257,-414,5710,489,865,-71
