acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
286,-152,5372,328,174,449
361,43,5402,410,216,473
483,131,5362,467,254,497
572,235,5420,456,287,544
598,370,5393,444,328,590
617,308,5344,437,369,613
646,246,5324,420,411,661
592,495,5248,404,451,736
531,852,5158,393,485,774
531,1165,5151,407,523,737
569,1340,5150,444,582,653
588,1293,5065,480,653,557
522,1277,4910,478,716,507
413,1359,4733,454,763,497
397,1422,4618,452,784,486
419,1399,4499,459,798,476
425,1613,4445,426,807,493
460,1950,4423,391,817,484
465,2109,4369,366,838,415
416,2170,4267,313,867,328
379,2155,4171,271,885,235
327,2188,4158,237,900,153
310,2123,4123,210,926,74
276,2001,4089,172,958,30
143,2150,3917,113,984,38
-36,2322,3755,20,984,29
-186,2303,3606,-55,962,-17
-252,2067,3500,-127,926,-65
-310,1960,3442,-190,882,-73
-359,2096,3377,-253,841,-69
-350,2165,3384,-296,800,-106
-264,2047,3386,-301,770,-171
-238,1969,3398,-335,756,-202
-289,2066,3268,-350,751,-221
-388,2030,3068,-389,722,-267
-483,1909,2980,-459,664,-314
-528,1754,2936,-513,601,-358
-594,1739,2914,-544,543,-390
-646,1959,2950,-572,495,-444
-703,2068,2984,-623,463,-543
-720,1821,2991,-664,429,-651
-750,1566,2991,-702,393,-704
-818,1742,3003,-778,352,-708
-889,1722,3016,-884,310,-749
-995,1202,2892,-968,264,-795
-1142,913,2738,-1027,193,-773
-1259,692,2657,-1071,101,-746
-1312,497,2723,-1083,3,-740
-1306,508,2833,-1028,-79,-750
-1273,382,2836,-978,-143,-780
-1273,382,2836,-978,-143,-780
-1222,99,2940,-968,-210,-795
-1205,-200,2976,-905,-258,-790
-1192,-452,2890,-801,-302,-775
-1096,-593,2965,-717,-368,-743
-1005,-642,3042,-663,-424,-703
-906,-906,3089,-657,-471,-662
-845,-1120,3121,-655,-519,-597
-791,-1280,3154,-634,-569,-525
-747,-1312,3330,-593,-617,-452
-719,-1312,3383,-524,-641,-403
-672,-1588,3404,-450,-668,-387
-646,-1909,3438,-374,-705,-323
-613,-1867,3486,-325,-750,-206
-600,-1533,3639,-296,-787,-116
-582,-1422,3738,-224,-806,-104
-494,-1504,3776,-138,-821,-100
-458,-1520,3815,-132,-852,-22
-495,-1656,3857,-174,-883,100
-539,-1664,3759,-156,-921,220
-459,-1577,3979,-84,-969,267
-255,-1432,4232,37,-968,267
-18,-1533,4375,139,-936,245
196,-1866,4545,185,-917,304
308,-1829,4668,171,-883,473
292,-1580,4724,177,-841,624
319,-1324,4880,257,-795,679
381,-1160,4945,409,-728,662
451,-1068,4876,522,-663,651
478,-1324,4783,578,-621,678
557,-1479,4884,630,-593,782
494,-1286,4752,744,-522,894
483,-804,4468,892,-510,952
547,-906,4537,946,-533,942
614,-942,4508,1005,-524,994
700,-737,4435,1065,-524,1079
727,-338,4506,1114,-527,1148
694,158,4735,1203,-502,1155
694,741,4614,1356,-432,1107
801,1080,4551,1407,-397,1025
864,783,4349,1324,-377,996
777,750,4158,1179,-390,1075
647,914,4052,1085,-412,1153
583,1159,3977,1072,-442,1156
552,1328,3978,1103,-476,1098
628,1503,4062,1136,-508,1045
677,1840,4173,1163,-520,1002
707,2511,4234,1143,-510,925
772,2587,4214,1025,-490,785
763,1978,4126,882,-483,682
663,1866,4031,784,-488,699
610,2142,3925,731,-510,718
629,2374,3984,709,-546,673
690,2528,4042,666,-573,601
758,2288,4003,575,-600,543
766,2058,3935,477,-635,550
744,2256,3967,388,-676,582
773,2586,4102,363,-708,532
852,2651,4240,399,-694,393
908,2595,4065,430,-654,245
911,2561,4130,387,-638,130
879,2611,4157,343,-614,53
801,2486,3798,295,-600,-10
710,2531,3763,191,-668,-40
625,2490,3710,85,-738,-76
720,2262,3743,18,-818,-113
875,2191,3921,-35,-887,-120
1003,2494,4090,-104,-913,-123
1003,2494,4090,-104,-913,-123
1144,2567,4260,-173,-903,-182
1241,2521,4327,-208,-853,-269
1267,2520,4312,-238,-792,-364
1285,2485,4346,-263,-736,-461
1304,2293,4307,-259,-679,-552
1328,2119,4098,-261,-656,-593
1343,2060,4197,-345,-676,-581
1366,1906,4177,-430,-670,-552
1412,1814,4132,-499,-679,-522
1463,1959,4195,-551,-696,-521
1537,1862,4265,-564,-691,-572
1591,1626,4278,-562,-670,-637
1634,1605,4327,-552,-641,-675
1709,1572,4305,-565,-606,-725
1732,1397,4429,-593,-571,-766
1738,1360,4463,-559,-519,-792
1765,1279,4464,-490,-478,-839
1868,1057,4628,-452,-442,-866
1962,1001,4732,-444,-377,-847
1885,1095,4650,-469,-309,-833
1870,1016,4648,-552,-279,-842
1950,707,4927,-624,-266,-838
2003,669,5091,-642,-212,-802
2016,717,5192,-673,-137,-781
2025,566,5227,-719,-54,-782
1923,319,5164,-732,12,-778
1896,121,5169,-710,74,-733
1884,42,4997,-726,132,-676
1840,-97,5024,-762,158,-639
1789,-319,5051,-719,194,-605
1729,-378,4826,-644,241,-563
1707,-551,4908,-580,239,-547
1727,-633,5073,-460,275,-502
1739,-602,4986,-340,356,-444
1738,-567,4969,-270,430,-382
1610,-641,4855,-232,503,-309
1494,-532,4796,-191,560,-222
1373,-285,4785,-116,608,-175
1324,-212,4846,16,663,-167
1313,176,4301,83,702,-167
1244,-134,4700,37,632,-207
1300,-290,4695,110,681,-140
1313,-135,4351,152,717,-57
1287,21,4445,80,695,-6
1261,96,4542,52,704,11
1218,145,4548,82,736,10
1157,174,4506,111,766,17
1119,90,4454,124,791,37
1094,116,4446,155,810,76
998,288,4318,195,832,116
894,484,4131,185,835,137
857,449,4125,144,812,134
835,450,4028,134,798,143
782,556,3876,111,775,164
761,456,3855,54,729,181
819,105,3992,63,694,227
906,271,3781,111,696,346
890,626,3816,70,660,405
832,695,3862,70,659,383
748,666,3712,135,682,339
679,678,3666,199,683,301
639,790,3660,242,680,286
611,1017,3688,280,675,275
560,1218,3732,299,669,249
523,1206,3732,303,666,216
474,1237,3696,292,663,203
432,1257,3631,269,648,199
385,1256,3561,227,617,205
430,1154,3596,176,574,220
421,1188,3568,128,543,250
421,1188,3568,128,543,250
366,1337,3500,102,508,263
372,1249,3556,59,458,245
390,1203,3662,7,420,250
420,1261,3745,-21,397,256
391,1226,3734,-51,392,249
390,1191,3866,-93,389,246
351,1325,3945,-132,409,248
261,1434,3906,-172,437,234
170,1335,3889,-210,445,204
73,1164,3815,-230,439,184


290,481,4585,93,-29,-31
324,419,4676,155,16,11
315,482,4692,198,32,26
338,598,4731,224,52,22
356,628,4808,242,74,3
371,562,4810,260,97,-9
384,481,4770,262,116,2
347,515,4703,264,129,32
328,586,4666,268,134,52
401,565,4718,281,140,57
446,572,4750,293,164,69
455,554,4722,283,200,94
417,533,4683,264,228,128
381,544,4669,249,248,161
381,544,4669,249,248,161
339,598,4637,240,271,180
287,620,4623,246,295,181
228,570,4543,268,318,171
226,529,4568,268,328,178
203,628,4663,274,342,195
174,748,4744,294,368,203
196,668,4807,324,398,191
195,527,4810,317,432,215
204,506,4847,281,461,277
172,732,4840,261,491,336
192,1022,4900,242,518,352
255,1139,4900,252,550,315
307,1275,5008,269,581,272
342,1471,5057,318,619,225
380,1646,5055,303,664,183
419,1780,5100,249,703,152
432,1884,5089,222,741,129
463,1968,5138,164,787,109
507,2060,5166,78,859,94
437,2236,5013,-22,944,82
282,2494,4777,-153,1005,72
95,2528,4524,-298,1028,33
-78,2385,4236,-433,1012,-3
-190,2283,4000,-559,964,-11
-268,2264,3858,-672,894,-9
-346,2315,3673,-750,822,-28
-313,2264,3558,-832,757,-78
-281,2131,3475,-914,709,-131
-294,2051,3292,-1000,682,-168
-294,1830,3130,-1060,652,-211
-336,1586,2986,-1119,629,-244
-450,1704,2862,-1172,613,-259
-586,1951,2720,-1187,593,-330
-727,1847,2474,-1218,559,-467
-858,1526,2292,-1287,484,-581
-957,1114,2157,-1372,384,-642
-1015,830,2146,-1435,255,-653
-1004,683,2204,-1457,137,-649
-987,541,2301,-1401,42,-666
-974,440,2405,-1278,-27,-702
-1001,227,2341,-1174,-76,-744
-1010,147,2403,-1134,-136,-755
-957,263,2586,-1074,-198,-770
-927,271,2626,-1024,-242,-805
-891,-73,2687,-1020,-294,-832
-925,-601,2686,-1002,-363,-814
-1039,-910,2697,-964,-448,-737
-1098,-770,2770,-910,-548,-655
-1021,-698,2940,-846,-645,-649
-836,-1068,3116,-733,-724,-708
-577,-1462,3363,-643,-774,-703
-403,-1477,3720,-626,-787,-596
-383,-943,3899,-605,-764,-473
-416,-892,3852,-549,-743,-461
-436,-1391,3791,-513,-750,-468
-420,-1565,3804,-493,-789,-395
-322,-1532,3833,-448,-844,-320
-168,-1715,3978,-428,-902,-254
-58,-2016,3958,-438,-930,-148
