acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
1129,-826,6123,322,568,-350
1242,-783,5943,451,652,-345
1272,-554,5706,508,736,-312
1347,-465,5456,572,802,-314
1450,-514,5400,673,857,-328
1516,-421,5250,785,933,-324
1537,-348,4947,804,1028,-304
1488,-346,4657,723,1108,-262
1325,-255,4339,644,1162,-215
1034,-338,3884,616,1186,-197
705,-428,3252,537,1137,-172
511,-743,3285,389,1003,-113
416,-845,3503,267,927,22
253,-746,3339,179,922,172
85,-460,2955,141,895,297
-35,-258,2804,116,807,358
-157,-353,2815,110,711,379
-275,-533,2811,145,634,432
-275,-533,2811,145,634,432
-344,-666,2858,170,577,532
-418,-678,2741,130,545,684
-589,-503,2461,110,491,843
-826,-549,2215,134,376,950
-955,-933,2203,129,225,1070
-998,-1064,2218,104,88,1291
-1059,-900,2131,124,-41,1529
-1089,-235,2041,200,-191,1701
-1161,1057,1914,277,-356,1720
-1208,2000,1888,406,-555,1510
-1129,1972,2004,488,-760,1193
-972,1547,2201,483,-939,958
-746,1374,2432,446,-1079,851
-524,1392,2510,341,-1180,822
-484,1412,2377,192,-1286,835
-447,1500,2372,47,-1442,859
-270,1929,2825,-61,-1626,880
-107,2602,3271,-61,-1749,841
18,3316,3346,-140,-1794,716
201,3896,3679,-247,-1854,462
376,3753,3974,-221,-1894,59
492,3255,4349,-233,-1891,-296
611,2957,4790,-251,-1841,-514
699,2892,4961,-253,-1739,-637
789,2996,5395,-212,-1651,-711
947,3050,5422,-192,-1541,-762
1206,2807,5298,-256,-1481,-794
1467,2518,5609,-436,-1474,-767
1708,2538,6197,-677,-1433,-685
1811,2567,6950,-892,-1317,-641
1805,2592,7176,-895,-1101,-682
1835,2353,7000,-826,-860,-824
1904,1871,6899,-737,-657,-995
2063,1362,6996,-588,-477,-1122
2338,867,7048,-402,-267,-1185
2592,448,6787,-278,-26,-1147
2680,65,6522,-278,187,-1034
2663,-280,6420,-346,388,-902
2543,-471,6269,-397,598,-771
2344,-518,6017,-324,790,-681
2121,-550,5697,-173,957,-654
1911,-601,5689,-18,1097,-661
1740,-611,5138,98,1252,-704
1560,-1029,4944,215,1319,-761
1491,-1277,5078,316,1402,-720
1391,-1306,4816,379,1531,-622
1190,-1036,4278,406,1620,-505
867,-568,3498,455,1609,-437
654,-347,3156,494,1444,-457
648,-658,3608,474,1249,-494
676,-752,3958,463,1180,-428
560,-365,3606,486,1179,-338
410,102,3356,465,1113,-315
283,189,3484,428,1034,-333
315,223,3566,380,1006,-327
286,425,3551,297,1000,-296
89,554,3259,247,1001,-284
-172,530,3183,293,965,-295
-366,561,2659,312,946,-302
-586,435,1726,132,775,-317
-697,-149,2336,-22,466,-287
-623,-17,2619,-68,330,-148
-593,47,2271,-74,223,-64
-488,16,2479,-144,65,-3
-451,-98,2642,-228,-25,54
-465,-75,2490,-239,-108,119
-446,160,2501,-250,-224,171
-428,214,2509,-249,-343,177
-447,225,2373,-268,-476,183
-447,225,2373,-268,-476,183
-493,211,2233,-324,-646,193
-446,153,2304,-374,-856,198
-307,81,2480,-418,-1061,216
-81,148,2786,-462,-1232,254
121,200,2986,-500,-1356,290
262,339,3108,-519,-1460,323
342,486,3306,-506,-1563,318
418,372,3523,-492,-1645,274
513,218,3607,-452,-1686,243
675,92,3747,-419,-1727,235
820,8,4074,-415,-1752,247
856,-63,4341,-406,-1710,278
763,153,4200,-346,-1626,318
774,335,3876,-256,-1595,290
965,244,4051,-215,-1634,224
1064,154,4219,-182,-1640,195
1238,-88,4265,-128,-1621,189
1423,-64,4316,-123,-1600,254
1425,192,4235,-153,-1580,331
1408,237,4347,-240,-1581,361
1369,-11,4439,-296,-1563,349
1389,-444,4230,-249,-1524,340
1499,-319,4512,-146,-1515,361
1579,-145,4531,41,-1462,318
1655,-93,4223,165,-1415,264
1817,-330,4375,94,-1387,254
2022,-383,4831,71,-1336,291
2176,-591,5123,205,-1189,327
2247,-556,4899,422,-1033,404
2158,-384,4854,544,-933,481
2099,-288,4528,657,-865,530
2190,-127,4571,681,-862,569
2273,-296,4781,665,-824,590
2343,-487,4471,708,-741,625
2502,-368,4530,779,-702,656
2643,96,4874,855,-627,647
2743,641,5031,955,-472,568
2816,598,4996,1046,-311,437
2812,384,5062,1099,-171,388
2714,333,4803,1118,-18,439
2636,494,4615,1091,63,527
2636,542,4622,1065,111,592
2592,818,4336,1088,155,641
2649,895,4318,1073,158,629
2800,971,4804,1011,175,620
2887,1263,5158,967,285,639
2948,1534,5138,940,456,642
3022,1729,5319,885,624,603
3020,1681,5639,879,822,528
3013,1549,5696,876,1089,490
2996,1618,5581,827,1367,512
2848,1954,5126,797,1618,543
2664,2217,4689,791,1781,511
2459,2150,4282,844,1861,433
2258,2158,3998,886,1855,389
2016,2204,3806,857,1817,360
1794,2199,3174,774,1751,346
1687,1962,2810,598,1582,334
1572,1669,2920,373,1370,353
1476,1596,3118,148,1212,419
1398,1685,3189,-18,1112,469
1246,1926,3002,-65,1035,445
968,1837,2450,-34,919,328
808,1567,2206,-73,706,205
790,1150,2586,-155,467,117
838,824,2907,-205,315,109
928,825,3005,-232,223,154
1042,1067,3052,-302,146,189
1087,1008,3254,-388,72,174
1087,1008,3254,-388,72,174
1111,878,3475,-429,23,168
1110,893,3497,-420,5,170
1103,799,3424,-397,-25,165
1137,776,3463,-401,-79,168
1175,818,3648,-414,-135,167
1278,808,3976,-392,-162,140
1340,630,4042,-352,-131,112
1347,597,3887,-339,-98,118
1300,661,3868,-327,-108,113
1232,711,3909,-297,-129,82
1200,669,3913,-277,-149,45
1210,632,3906,-255,-178,24
1232,621,3954,-248,-224,28
1252,660,4091,-256,-269,48
1284,715,4184,-267,-284,59
1322,688,4261,-255,-282,57
1373,775,4396,-225,-270,53
1448,774,4418,-186,-233,32
1548,655,4394,-174,-183,12
1589,591,4367,-179,-137,9
1551,536,4302,-176,-101,8
1514,571,4280,-153,-76,1
1452,605,4200,-132,-53,-16
1389,590,4089,-133,-47,-35
1347,564,4017,-151,-63,-43
1315,541,3978,-165,-95,-49
1315,518,3968,-170,-128,-44
1356,515,3970,-171,-155,-32
1402,560,4026,-168,-182,-23
1397,607,4152,-169,-196,-11
1341,644,4229,-156,-188,-12
1315,653,4215,-122,-166,-32
1275,640,4170,-85,-141,-63
1238,567,4070,-53,-119,-102
1253,479,3957,-53,-109,-126
1277,500,3977,-73,-121,-124
1300,564,4062,-82,-129,-125
1398,569,4082,-94,-115,-137
1482,440,4035,-145,-87,-126
1527,433,3970,-209,-70,-78
1560,444,3975,-262,-75,-34


761,-210,5045,599,779,-247
617,-397,4618,624,837,-245
634,-506,4697,612,824,-234
713,-547,4894,649,838,-219
687,-465,4707,643,906,-171
618,-329,4462,579,943,-124
546,-335,4384,512,936,-108
488,-471,4413,435,932,-85
372,-476,4338,400,942,-32
218,-478,4197,375,953,12
68,-718,4126,383,954,40
-54,-947,4093,403,960,108
-187,-1018,4026,460,974,205
-256,-1016,3779,536,993,316
-324,-745,3638,550,980,442
-420,-171,3409,552,951,523
-483,15,3181,555,889,507
-480,-128,3131,553,797,473
-443,-350,3078,510,710,495
-451,-231,2986,468,626,574
-492,34,2863,453,531,620
-488,-138,2902,430,429,610
-468,-508,2966,405,343,653
-446,-566,3017,394,279,784
-521,-194,2971,407,233,927
-674,445,2638,454,179,1006
-786,967,2278,481,69,1002
-826,1081,2299,415,-105,966
-841,870,2413,310,-280,964
-832,755,2509,186,-440,1024
-745,963,2622,81,-586,1095
-644,1160,2707,18,-719,1103
-636,1227,2686,-23,-845,1080
-651,1606,2596,-49,-983,1048
-702,2155,2442,-36,-1144,926
-761,2387,2196,-73,-1340,724
-640,2211,2225,-248,-1571,549
-419,1842,2506,-500,-1796,472
-221,1778,2721,-763,-1983,504
-48,2059,2679,-972,-2149,546
36,2325,2633,-1127,-2357,507
213,2320,3312,-1265,-2595,377
564,2416,4456,-1343,-2709,221
938,2608,5618,-1262,-2617,9
1134,2601,6293,-1075,-2346,-254
1158,2456,6001,-906,-1990,-484
1131,2164,5416,-817,-1755,-653
1212,1965,5359,-812,-1658,-752
1452,1737,5853,-856,-1590,-803
1584,1540,6215,-923,-1449,-796
1631,1399,6238,-969,-1272,-755
1800,1185,6538,-946,-1120,-731
1975,1162,6711,-887,-935,-693
2147,1373,6891,-786,-716,-698
2273,1392,6776,-657,-470,-797
2417,1219,6702,-548,-249,-932
2505,955,6590,-462,-22,-1061
2547,367,6262,-391,196,-1153
2519,-287,6155,-361,371,-1143
2519,-287,6155,-361,371,-1143
2362,-672,5857,-356,551,-1020
2202,-751,5529,-286,686,-856
2140,-623,5470,-188,774,-714
2093,-732,5504,-112,885,-629
2043,-989,5522,-1,1046,-577
2079,-1225,5624,161,1238,-535
2025,-1259,5456,350,1480,-496
1887,-1238,4870,543,1704,-485
1759,-1160,4637,687,1833,-484
1668,-976,4266,842,1950,-484
1442,-1244,3485,952,1940,-532
1229,-1618,3605,1107,1789,-505
1077,-1307,3671,1106,1716,-351
855,-754,3510,1011,1666,-245
614,-355,3188,857,1597,-214
519,-133,3304,702,1472,-229
384,-133,3550,630,1382,-271
184,75,3240,608,1341,-290
-19,67,2939,606,1238,-329
-256,-112,2731,541,1089,-316
-397,47,2778,459,907,-240
-458,181,2888,404,753,-190
-461,121,2910,328,639,-137
-437,20,2984,221,541,-67
-423,234,3189,147,467,1
-434,641,3147,180,432,8
-579,593,2718,185,385,-30
